"Visits_Per_Station","PrimaryCareShortageArea","EDStations","Tot_ED_NmbVsts","UrbanRuralDesi","HospitalOwnership","year","CountyName","avgTotEDVsts","avgEdStationVisits"
0.0217391304347826,"Yes",46,68844,"Urban","Nonprofit","2022","Los Angeles",68844,0.0217391304347826
0.0277777777777778,"Yes",36,62048,"Urban","Nonprofit","2021","Los Angeles",62048,0.0277777777777778
0.0434782608695652,"Yes",46,68844,"Urban","Nonprofit","2022","Los Angeles",68844,0.0434782608695652
0.0555555555555556,"Yes",36,62048,"Urban","Nonprofit","2021","Los Angeles",62048,0.0555555555555556
0.0652173913043478,"Yes",46,72057,"Urban","Nonprofit","2023","Los Angeles",72057,0.0652173913043478
0.130434782608696,"Yes",46,68844,"Urban","Nonprofit","2022","Los Angeles",68844,0.130434782608696
0.142857142857143,"Yes",7,6736,"Urban","Investor Owned","2023","Los Angeles",6736,0.142857142857143
0.142857142857143,"Yes",7,6834,"Urban","Investor Owned","2021","Los Angeles",6834,0.142857142857143
0.142857142857143,"Yes",7,6908,"Urban","Investor Owned","2022","Los Angeles",6908,0.142857142857143
0.152173913043478,"Yes",46,68844,"Urban","Nonprofit","2022","Los Angeles",68844,0.152173913043478
0.152173913043478,"Yes",46,72057,"Urban","Nonprofit","2023","Los Angeles",72057,0.152173913043478
0.166666666666667,"Yes",36,62048,"Urban","Nonprofit","2021","Los Angeles",62048,0.166666666666667
0.173913043478261,"Yes",46,68844,"Urban","Nonprofit","2022","Los Angeles",68844,0.173913043478261
0.194444444444444,"Yes",36,62048,"Urban","Nonprofit","2021","Los Angeles",62048,0.194444444444444
0.212765957446809,"Yes",47,64861,"Urban","Nonprofit","2023","Los Angeles",64861,0.212765957446809
0.238095238095238,"Yes",21,37600,"Urban","Investor Owned","2023","San Bernardino",37600,0.238095238095238
0.25,"Yes",4,3857,"Urban","Investor Owned","2022","Los Angeles",3857,0.25
0.25,"Yes",20,17043,"Urban","Investor Owned","2023","San Diego",17043,0.25
0.263157894736842,"Yes",57,55882,"Urban","Nonprofit","2022","Los Angeles",55882,0.263157894736842
0.285714285714286,"Yes",7,6736,"Urban","Investor Owned","2023","Los Angeles",6736,0.285714285714286
0.285714285714286,"Yes",7,6834,"Urban","Investor Owned","2021","Los Angeles",6834,0.285714285714286
0.3,"Yes",10,11411,"Urban","Investor Owned","2022","Orange",11411,0.3
0.315789473684211,"Yes",57,52686,"Urban","Nonprofit","2023","Los Angeles",52686,0.315789473684211
0.35,"Yes",20,17090,"Urban","Investor Owned","2021","San Diego",17090,0.35
0.365384615384615,"Yes",52,59992,"Urban","Nonprofit","2022","Los Angeles",59992,0.365384615384615
0.375,"Yes",16,29888,"Urban","Investor Owned","2022","San Bernardino",29888,0.375
0.379310344827586,"Yes",29,40855,"Urban","Investor Owned","2023","Riverside",40855,0.379310344827586
0.391304347826087,"Yes",46,72057,"Urban","Nonprofit","2023","Los Angeles",72057,0.391304347826087
0.397260273972603,"Yes",73,83169,"Urban","Nonprofit","2023","Fresno",83169,0.397260273972603
0.4,"Yes",10,11411,"Urban","Investor Owned","2022","Orange",11411,0.4
